iter	Passed	Remaining
0	1	1356
1	2	1135
2	3	1087
3	4	1067
4	5	1050
5	6	1026
6	7	1049
7	9	1126
8	10	1163
9	11	1146
10	12	1132
11	13	1111
12	14	1088
13	15	1070
14	16	1063
15	17	1057
16	18	1042
17	18	1029
18	19	1018
19	20	1012
20	21	1010
21	23	1025
22	24	1028
23	25	1025
24	26	1018
25	26	1010
26	27	1003
27	28	996
28	29	993
29	30	988
30	31	982
31	32	980
32	33	974
33	34	970
34	35	965
35	35	963
36	36	961
37	37	959
38	38	956
39	39	952
40	40	949
41	41	953
42	43	964
43	44	969
44	45	967
45	46	963
46	47	959
47	48	955
48	49	954
49	50	953
50	51	949
51	51	946
52	53	950
53	54	955
54	55	960
55	57	967
56	58	973
57	59	972
58	60	970
59	61	966
60	62	963
61	63	964
62	64	964
63	66	973
64	67	976
65	68	974
66	70	975
67	71	978
68	72	981
69	74	989
70	75	992
71	77	994
72	78	999
73	79	998
74	80	997
75	82	999
76	84	1008
77	85	1011
78	87	1016
79	88	1013
80	89	1011
81	90	1009
82	90	1002
83	91	1002
84	93	1002
85	94	1003
86	95	1001
87	96	1002
88	98	1010
89	100	1017
90	101	1016
91	102	1014
92	103	1012
93	105	1012
94	106	1011
95	107	1012
96	108	1012
97	109	1011
98	110	1009
99	112	1011
100	114	1017
101	115	1019
102	116	1016
103	117	1014
104	118	1013
105	119	1011
106	120	1008
107	122	1009
108	123	1011
109	125	1011
110	126	1011
111	127	1014
112	129	1016
113	130	1013
114	131	1010
115	132	1009
116	133	1006
117	134	1004
118	135	1002
119	136	1000
120	137	1000
121	138	997
122	139	997
123	140	995
124	142	998
125	144	999
126	145	999
127	146	998
128	147	998
129	148	995
130	150	995
131	151	993
132	152	992
133	153	991
134	154	993
135	156	995
136	157	994
137	159	994
138	160	993
139	161	991
140	162	990
141	163	985
142	164	987
143	166	987
144	167	986
145	168	984
146	169	983
147	170	984
148	172	983
149	173	984
150	174	983
151	175	981
152	176	978
153	177	977
154	178	975
155	180	975
156	181	975
157	182	972
158	184	973
159	185	974
160	186	972
161	188	975
162	189	974
163	190	973
164	192	971
165	193	970
166	194	970
167	195	969
168	196	967
169	198	967
170	200	970
171	201	971
172	203	970
173	204	969
174	205	967
175	206	965
176	207	964
177	208	964
178	210	964
179	211	962
180	212	961
181	214	962
182	215	963
183	216	962
184	218	961
185	219	960
186	220	958
187	221	956
188	222	955
189	224	955
190	225	953
191	226	952
192	227	951
193	229	952
194	231	956
195	232	955
196	233	953
197	234	950
198	235	948
199	236	947
200	237	945
201	238	943
202	239	941
203	241	940
204	242	941
205	244	942
206	245	941
207	246	939
208	247	938
209	248	936
210	250	936
211	251	935
212	252	934
213	253	932
214	254	930
215	256	929
216	258	931
217	259	930
218	260	928
219	261	926
220	262	924
221	263	922
222	264	921
223	265	919
224	266	917
225	267	915
226	268	913
227	269	912
228	270	911
229	272	912
230	273	911
231	275	910
232	276	909
233	277	907
234	278	905
235	279	903
236	280	902
237	281	900
238	282	898
239	283	897
240	285	899
241	287	899
242	288	898
243	289	897
244	290	894
245	291	892
246	292	890
247	293	889
248	294	887
249	295	886
250	297	887
251	298	885
252	299	883
253	300	881
254	301	879
255	301	877
256	302	875
257	303	873
258	304	871
259	305	869
260	306	867
261	307	866
262	308	864
263	309	862
264	310	860
265	311	860
266	313	860
267	314	859
268	315	857
269	316	855
270	317	854
271	318	852
272	319	850
273	320	848
274	321	847
275	322	846
276	323	845
277	325	845
278	326	843
279	327	841
280	328	839
281	329	837
282	329	835
283	330	833
284	331	831
285	332	829
286	333	827
287	334	826
288	335	824
289	336	823
290	338	823
291	339	823
292	340	822
293	341	820
294	342	818
295	343	817
296	344	815
297	345	813
298	346	811
299	346	809
300	347	807
301	348	806
302	349	804
303	351	804
304	352	803
305	354	802
306	354	801
307	355	799
308	356	797
309	357	795
310	358	794
311	359	792
312	360	791
313	361	789
314	362	787
315	363	786
316	364	785
317	365	783
318	366	782
319	367	781
320	368	779
321	370	779
322	371	778
323	372	777
324	373	776
325	374	774
326	375	772
327	376	771
328	377	770
329	379	769
330	380	768
331	381	767
332	382	766
333	384	765
334	385	765
335	388	767
336	389	766
337	391	766
338	396	773
339	398	773
340	400	774
341	403	775
342	406	779
343	408	778
344	409	777
345	411	777
346	414	779
347	416	780
348	417	779
349	419	778
350	421	778
351	422	778
352	424	777
353	425	776
354	428	777
355	429	777
356	431	776
357	432	775
358	434	775
359	436	775
360	437	774
361	438	773
362	440	773
363	442	773
364	443	772
365	445	771
366	446	769
367	447	768
368	449	767
369	450	766
370	451	765
371	455	768
372	457	768
373	458	767
374	459	766
375	461	766
376	463	765
377	464	764
378	465	763
379	467	763
380	469	763
381	471	763
382	472	761
383	474	760
384	475	759
385	477	760
386	479	759
387	481	758
388	482	757
389	484	757
390	485	756
391	487	756
392	488	755
393	489	753
394	491	752
395	492	751
396	493	749
397	495	749
398	497	749
399	498	748
400	500	747
401	501	746
402	503	745
403	504	744
404	505	742
405	506	741
406	507	740
407	508	738
408	509	736
409	510	735
410	512	734
411	513	733
412	516	733
413	517	733
414	519	732
415	520	731
416	522	729
417	524	729
418	525	729
419	527	727
420	528	726
421	529	725
422	530	723
423	532	722
424	533	722
425	535	721
426	536	720
427	537	718
428	539	717
429	540	715
430	541	714
431	542	713
432	543	711
433	544	710
434	545	708
435	547	707
436	548	706
437	549	704
438	550	703
439	551	701
440	553	701
441	554	699
442	555	698
443	556	696
444	557	694
445	558	693
446	559	692
447	561	691
448	562	690
449	564	689
450	565	687
451	566	686
452	567	685
453	568	683
454	569	682
455	570	680
456	571	679
457	572	677
458	574	676
459	575	675
460	576	673
461	577	672
462	579	671
463	580	670
464	582	670
465	584	669
466	585	668
467	586	666
468	587	665
469	589	664
470	590	663
471	591	662
472	592	660
473	594	659
474	595	657
475	596	656
476	597	655
477	599	654
478	600	653
479	601	651
480	602	650
481	604	649
482	605	647
483	606	647
484	608	646
485	610	645
486	611	644
487	612	642
488	614	641
489	615	640
490	617	639
491	618	638
492	619	637
493	621	636
494	622	635
495	623	633
496	624	632
497	625	630
498	626	629
499	627	627
500	628	626
501	630	625
502	631	624
503	632	622
504	634	622
505	635	620
506	637	619
507	638	618
508	639	616
509	640	615
510	641	613
511	642	612
512	643	610
513	644	609
514	646	608
515	648	608
516	649	607
517	650	605
518	651	604
519	652	602
520	653	601
521	654	599
522	655	598
523	657	596
524	658	595
525	659	594
526	660	592
527	661	591
528	663	590
529	665	589
530	666	588
531	667	587
532	668	585
533	669	584
534	670	582
535	671	581
536	672	580
537	674	579
538	675	577
539	677	576
540	678	575
541	679	573
542	680	572
543	681	570
544	681	569
545	682	567
546	683	566
547	684	564
548	685	563
549	686	561
550	688	560
551	689	559
552	691	558
553	692	557
554	693	555
555	694	554
556	695	553
557	696	551
558	697	549
559	697	548
560	698	546
561	699	545
562	701	544
563	702	543
564	703	541
565	715	548
566	716	547
567	718	546
568	719	544
569	720	543
570	721	542
571	722	540
572	723	539
573	728	540
574	730	539
575	730	538
576	732	536
577	733	535
578	734	534
579	736	533
580	737	531
581	738	530
582	739	528
583	740	527
584	741	525
585	742	524
586	743	523
587	745	522
588	746	520
589	747	519
590	749	518
591	750	517
592	751	515
593	753	514
594	756	514
595	757	513
596	758	512
597	759	510
598	760	509
599	762	508
600	763	506
601	764	505
602	765	504
603	766	502
604	767	501
605	769	499
606	770	498
607	771	497
608	772	495
609	773	494
610	774	493
611	776	492
612	777	490
613	778	489
614	779	488
615	781	486
616	782	485
617	783	484
618	784	483
619	785	481
620	787	480
621	788	478
622	789	477
623	790	476
624	791	475
625	792	473
626	794	472
627	796	471
628	797	470
629	798	469
630	799	467
631	800	466
632	801	464
633	803	463
634	804	462
635	805	461
636	807	460
637	808	458
638	809	457
639	810	455
640	811	454
641	812	453
642	813	451
643	814	450
644	815	448
645	816	447
646	818	446
647	819	445
648	821	444
649	822	443
650	823	441
651	824	440
652	825	438
653	826	437
654	827	435
655	828	434
656	829	433
657	830	431
658	831	430
659	833	429
660	835	428
661	836	426
662	837	425
663	838	424
664	839	422
665	840	421
666	841	420
667	842	418
668	843	417
669	844	415
670	845	414
671	846	413
672	847	411
673	848	410
674	849	409
675	851	408
676	852	406
677	854	405
678	855	404
679	856	403
680	857	401
681	858	400
682	859	398
683	860	397
684	862	396
685	863	395
686	865	394
687	866	392
688	867	391
689	868	390
690	869	388
691	870	387
692	871	385
693	872	384
694	873	383
695	874	381
696	876	380
697	877	379
698	879	378
699	880	377
700	881	375
701	882	374
702	883	373
703	884	371
704	885	370
705	886	368
706	887	367
707	888	366
708	889	364
709	890	363
710	892	362
711	893	361
712	894	359
713	894	358
714	895	357
715	896	355
716	897	354
717	898	352
718	899	351
719	899	349
720	900	348
721	901	347
722	902	345
723	904	344
724	905	343
725	906	342
726	907	340
727	908	339
728	909	338
729	910	336
730	911	335
731	911	333
732	912	332
733	913	331
734	914	329
735	915	328
736	916	327
737	917	325
738	918	324
739	919	323
740	920	321
741	922	320
742	923	319
743	924	318
744	925	316
745	926	315
746	927	314
747	928	312
748	929	311
749	930	310
750	931	308
751	932	307
752	933	306
753	934	304
754	935	303
755	937	302
