iter	Passed	Remaining
0	2	198
1	3	184
2	5	169
3	6	155
4	8	152
5	9	151
6	11	148
7	12	149
8	14	144
9	15	140
10	17	137
11	18	136
12	20	134
13	21	132
14	22	129
15	23	125
16	25	123
17	26	120
18	27	117
19	29	118
20	31	118
21	33	117
22	34	115
23	36	114
24	37	113
25	39	111
26	40	108
27	41	106
28	43	105
29	44	104
30	45	101
31	47	100
32	48	98
33	50	97
34	51	96
35	53	94
36	54	93
37	56	91
38	57	90
39	59	89
40	60	87
41	61	84
42	63	83
43	64	82
44	66	81
45	67	79
46	69	78
47	71	77
48	72	75
49	74	74
50	75	72
51	76	70
52	78	69
53	80	68
54	81	66
55	82	64
56	83	63
57	85	61
58	87	60
59	88	59
60	90	57
61	92	56
62	94	55
63	95	53
64	97	52
65	98	50
66	100	49
67	102	48
68	103	46
69	105	45
70	107	43
71	108	42
72	110	40
73	112	39
74	113	37
75	115	36
76	117	35
77	118	33
78	120	31
79	121	30
80	123	28
81	124	27
82	126	25
83	127	24
84	129	22
85	130	21
86	132	19
87	133	18
88	135	16
89	136	15
90	137	13
91	139	12
92	140	10
93	142	9
94	143	7
95	144	6
96	146	4
97	147	3
98	148	1
99	150	0
